follower_id,followed_id
57,93
22,14
19,75
50,16
21,3
92,100
94,71
18,68
60,9
65,9
20,80
100,11
89,33
94,18
41,23
99,87
51,98
100,60
42,50
60,41
65,41
10,65
47,37
31,65
89,32
97,56
52,26
84,87
58,29
81,49
52,100
62,24
3,51
28,43
27,22
44,19
56,99
17,69
83,42
97,76
60,96
90,78
4,38
59,57
21,12
8,1
55,30
21,34
54,96
93,74
38,48
67,35
25,30
54,85
12,80
6,82
32,53
73,49
25,56
91,38
74,62
68,39
71,16
67,33
47,64
11,1
57,5
92,31
6,77
86,88
28,58
37,27
98,53
28,30
69,93
83,77
27,84
67,1
90,9
61,68
2,18
95,93
95,56
28,45
71,49
64,62
42,92
44,64
31,68
79,11
43,19
27,49
85,57
88,55
82,97
68,69
73,7
56,21
77,92
42,18
74,28
94,6
16,44
41,40
37,11
87,38
77,10
24,41
39,84
77,3
33,63
30,64
60,58
91,40
4,39
10,24
91,20
79,21
90,46
79,58
33,92
46,56
31,28
86,82
54,57
100,28
62,5
7,98
89,70
62,33
68,17
93,11
99,43
8,88
74,45
27,77
68,88
75,93
71,6
5,76
79,50
20,100
61,70
21,22
62,37
29,54
62,15
93,87
18,73
70,25
67,32
24,18
64,91
77,55
23,68
39,78
22,2
30,22
70,33
96,24
70,60
3,82
5,36
60,69
60,48
2,39
78,33
51,54
66,5
56,65
31,77
66,70
85,7
83,4
6,89
4,83
70,34
93,79
62,45
86,60
58,62
48,53
77,50
40,72
66,76
44,12
23,67
29,4
9,83
25,81
11,70
47,69
94,25
26,20
92,65
76,9
21,47
82,35
39,54
25,53
99,11
21,76
88,62
18,27
64,37
68,33
7,63
55,81
17,70
3,96
26,87
62,2
74,88
17,1
84,70
51,87
15,58
16,42
49,69
11,76
80,62
88,7
40,85
92,29
69,95
50,88
59,56
89,19
47,96
44,23
78,100
2,72
99,92
3,67
65,19
48,86
56,5
29,27
45,54
61,56
76,31
94,37
84,69
50,66
63,39
66,58
23,71
26,43
93,86
86,17
47,12
10,53
96,13
77,93
78,56
38,77
9,12
76,36
89,5
19,85
33,88
50,2
25,90
21,57
96,53
85,100
26,45
81,86
99,69
1,57
97,99
16,60
54,19
15,71
43,11
43,10
46,37
75,31
66,89
23,17
100,72
59,4
12,14
68,58
81,75
49,9
25,51
7,59
67,69
77,34
86,90
97,92
65,69
33,24
44,93
71,86
56,44
57,53
16,13
54,15
55,45
43,75
4,21
53,79
51,94
40,11
53,46
25,21
7,78
65,29
22,24
66,35
98,52
25,33
86,67
65,22
48,79
34,66
42,85
12,97
35,9
43,22
23,13
11,53
30,65
27,34
20,79
7,97
35,40
34,31
89,14
37,61
27,95
43,90
53,94
70,58
88,66
74,85
98,27
10,16
85,91
39,28
91,9
12,55
69,4
43,5
90,36
32,85
39,100
23,8
28,68
22,35
61,48
17,45
61,3
41,88
26,74
44,66
56,7
27,26
51,23
74,38
88,27
91,46
100,58
74,18
91,35
91,75
19,93
87,93
44,73
87,33
66,29
34,81
100,83
11,13
47,74
73,71
22,62
51,72
19,66
48,2
53,98
4,47
16,7
80,58
22,55
18,39
57,37
27,94
31,1
72,52
60,50
88,80
1,99
71,15
31,9
66,22
54,10
67,3
70,87
95,74
55,10
47,82
41,62
69,78
80,66
46,54
65,50
88,26
40,26
18,30
6,60
83,48
77,30
64,45
27,76
36,93
81,55
13,20
21,44
41,73
93,98
17,97
55,11
68,4
64,63
12,18
52,64
66,43
42,41
58,25
42,40
1,60
76,40
30,14
72,91
78,70
7,25
25,19
27,20
83,89
30,71
85,94
99,36
89,38
66,93
22,10
55,2
20,13
32,96
74,75
51,88
90,11
72,9
73,59
18,32
49,93
74,96
77,78
42,13
