 location_id |                   country                    |          city           |  latitude   |  longitude  
-------------+----------------------------------------------+-------------------------+-------------+-------------
           1 | Dominican Republic                           | Arroyoton               |  -63.302408 |   -6.721735
           2 | San Marino                                   | North Elizabethshire    | -59.3462305 |  119.208388
           3 | Gambia                                       | North Peterborough      |   77.451903 |  106.722873
           4 | Austria                                      | South Garyberg          |  -44.577669 | -106.446605
           5 | Zimbabwe                                     | North Amandatown        |  -43.645994 |  168.322808
           6 | Kenya                                        | Port Christopher        |   61.585541 |  156.780233
           7 | Madagascar                                   | North Joseph            |  -76.007848 | -127.031881
           8 | Heard Island and McDonald Islands            | West Colin              |  -86.860736 |   13.301273
           9 | Iraq                                         | South Crystal           | -17.0703915 |   93.731181
          10 | Slovenia                                     | Meganhaven              |   84.701661 |  138.889811
          11 | Morocco                                      | Everettton              |   -45.27658 |   52.350211
          12 | Western Sahara                               | Danielleshire           |     9.11476 |  117.906684
          13 | Moldova                                      | South Devinchester      |  -42.232483 |  174.672581
          14 | Cape Verde                                   | Ramseyside              |  -15.892451 |  -99.268272
          15 | France                                       | East Damonhaven         |   1.6232385 |    9.237544
          16 | Northern Mariana Islands                     | South Douglasberg       |   -89.50643 |   171.05302
          17 | Uganda                                       | South Peterberg         |   16.991123 |   45.205045
          18 | Bhutan                                       | Lake Dennis             | -28.5835835 |  128.115186
          19 | Turks and Caicos Islands                     | Port Alyssa             | -46.8797405 | -164.611496
          20 | Luxembourg                                   | Petersborough           | -79.1155595 | -141.136394
          21 | Myanmar                                      | West Ronniemouth        | -22.9755885 | -142.175899
          22 | Greenland                                    | Jamieland               | -54.4688555 |  -86.813003
          23 | Saudi Arabia                                 | West Melanie            |   57.074416 |   84.958633
          24 | Chile                                        | Hollyborough            |  -12.599824 |   15.599367
          25 | Aruba                                        | East Timothyside        |   85.155657 |  142.520055
          26 | Korea                                        | East Derek              |  59.7567855 | -100.433656
          27 | Thailand                                     | Carrollshire            |  -55.695479 | -117.522789
          28 | Greece                                       | East Heather            |   -55.08117 | -165.693492
          29 | Morocco                                      | South Stephenburgh      |  79.4908135 |   57.204916
          30 | Senegal                                      | East Krista             | -13.4886575 | -106.900828
          31 | Korea                                        | West Jacobmouth         |  75.2628175 |  -46.350847
          32 | Belarus                                      | Bakershire              |    76.98359 |  -47.759486
          33 | United States of America                     | Cruzland                | -18.9876665 |   71.238323
          34 | Trinidad and Tobago                          | West Davidstad          | -35.7259655 | -108.957513
          35 | Cuba                                         | East Feliciahaven       |   -79.76006 |  -64.367385
          36 | Niue                                         | East Johnmouth          | -43.0433215 |  -53.783222
          37 | Jamaica                                      | South Debra             |    5.522734 |  126.175035
          38 | Liberia                                      | Adamland                |    19.06152 |  152.960642
          39 | Costa Rica                                   | Choiview                |   77.042401 |    5.684489
          40 | Congo                                        | North Michelle          |  -39.732479 |   68.706649
          41 | Estonia                                      | New Christinaberg       |     8.98912 |  -35.114438
          42 | Turkmenistan                                 | Matthewton              |  50.0912295 |  -64.791508
          43 | Zimbabwe                                     | Port Brendashire        | -60.5649365 |  144.783081
          44 | Sri Lanka                                    | East Shawn              |   -15.17293 |   46.304356
          45 | South Africa                                 | Port Christopherborough |   63.769526 |  -41.572493
          46 | Madagascar                                   | Harrishaven             | -56.6318275 | -122.600423
          47 | Kuwait                                       | North Lisamouth         | -22.1452025 |  138.199529
          48 | French Southern Territories                  | Taylorshire             |   9.0792175 |   16.606227
          49 | Netherlands                                  | Port Linda              |   9.2496205 | -172.649716
          50 | Italy                                        | Tonyatown               |  -33.199624 |  169.759863
          51 | Indonesia                                    | Shawfort                |   -9.505931 |  -91.944222
          52 | Nicaragua                                    | North Derek             |  -13.611383 |   39.177945
          53 | Mongolia                                     | North Matthewfort       |  41.2863465 |   69.525707
          54 | Cayman Islands                               | Port Kimberlyberg       | -58.4980135 |  146.666378
          55 | Congo                                        | Marychester             |   18.200763 |  121.349468
          56 | Zimbabwe                                     | Brookefurt              |    7.332546 |  -20.099956
          57 | Saint Martin                                 | Romeroshire             | -56.4397275 |  115.042355
          58 | Bhutan                                       | New Zachary             |  27.7337925 |  -91.452079
          59 | Croatia                                      | Deanton                 |   57.985694 |   45.710298
          60 | Ghana                                        | South Jeffland          |   -3.008963 |   98.910029
          61 | Taiwan                                       | Lake Amber              |  56.4157715 |  -72.339862
          62 | Kenya                                        | New Emilychester        |  -86.286289 |  136.089227
          63 | Cocos (Keeling) Islands                      | Adriantown              |  48.4391055 | -132.917339
          64 | Ethiopia                                     | West Sean               |  37.8161785 |  -84.410297
          65 | Tajikistan                                   | West Louis              |   70.788025 | -145.184545
          66 | Puerto Rico                                  | Sherifort               |   79.266383 |  -46.649135
          67 | Croatia                                      | North Brooketon         |    2.616714 |   27.964316
          68 | Uzbekistan                                   | Jenniferside            |  -37.701384 |   45.309969
          69 | Netherlands Antilles                         | North Ianhaven          |   45.215529 |  -68.498494
          70 | Martinique                                   | Lake Ralph              | -60.2988595 |  -16.728891
          71 | Antigua and Barbuda                          | Kennethfurt             |    1.992779 |  -86.088374
          72 | Cyprus                                       | West Jeffreyville       |   47.176582 |  172.420145
          73 | Comoros                                      | Benjaminport            |  -49.575225 |   13.642699
          74 | Fiji                                         | Kimberlytown            |     8.49685 |  117.035552
          75 | Mauritius                                    | North Amberstad         |   63.241113 |  -42.535342
          76 | Denmark                                      | Port Stephaniefurt      |  -3.0643745 |   118.76691
          77 | Azerbaijan                                   | Lake Juliestad          |  -7.4329035 | -144.811866
          78 | Guatemala                                    | Lake Kimberlychester    |   3.9658845 | -118.837302
          79 | Central African Republic                     | South Kimberlymouth     | -35.1399965 | -138.927088
          80 | New Zealand                                  | Heatherberg             |   73.185742 |   11.984272
          81 | Brazil                                       | Rosalesmouth            |  -22.093738 | -101.874034
          82 | United Arab Emirates                         | West Frank              |    -0.06291 |  108.004971
          83 | Benin                                        | Bishopshire             |   60.849637 |  -89.115715
          84 | France                                       | Daviston                |  -8.7510145 | -149.044846
          85 | Guinea-Bissau                                | East Rachael            |  84.6776715 |  -16.699054
          86 | Argentina                                    | North Ashleytown        |  57.9178815 | -124.656385
          87 | Jordan                                       | Nathanshire             |   11.217821 |   20.885798
          88 | Martinique                                   | Jasonhaven              |  52.8081745 |    7.332937
          89 | Micronesia                                   | Jenniferborough         | -71.1746495 |   51.458859
          90 | Gambia                                       | West Ianport            |  -55.750538 |  -29.849221
          91 | Barbados                                     | Darrenmouth             | -29.1628895 |  -16.970599
          92 | Uzbekistan                                   | Roseshire               |   61.920705 |   129.86106
          93 | Panama                                       | Westside                |  -48.566137 | -151.569112
          94 | Anguilla                                     | Michaelport             |    0.502795 |  -26.764976
          95 | Egypt                                        | North Matthewchester    |  -14.618909 | -146.069393
          96 | Montenegro                                   | Sethshire               |   86.276065 |  -44.233777
          97 | Cameroon                                     | South Kathryn           |  -48.044952 |  -18.308996
          98 | Gambia                                       | Lake Patrickberg        | -74.4853945 |  139.005413
          99 | Saint Helena                                 | East Stevenburgh        |  71.8493065 |  146.019557
         100 | Canada                                       | Alanbury                |  55.6593585 |   -90.34018
         101 | Hungary                                      | Johnbury                | -42.7561945 | -144.137958
         102 | Liberia                                      | Port Matthew            |   71.868338 |  -46.059459
         103 | Algeria                                      | Hendricksberg           |  24.1188305 |  126.943976
         104 | Gabon                                        | Lake Albert             |  -52.164361 |  176.856167
         105 | Mozambique                                   | Davidfort               |  -9.2278345 | -176.153974
         106 | Kenya                                        | Waltermouth             | -82.9348245 |   -71.57836
